"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C4","470µF","~","Capacitor_SMD:C_Elec_10x10.2","2",""
"C2,C3,C5","0.1µF","~","Capacitor_SMD:C_1206_3216Metric","3",""
"C6","10nF","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C7","4µ7","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C8,C9,C10,C11,C13","100n","~","Capacitor_SMD:C_1206_3216Metric","5",""
"C12","1µ","~","Capacitor_SMD:C_1206_3216Metric","1",""
"C14,C15","30p","~","Capacitor_SMD:C_1206_3216Metric","2",""
"D1","B340","http://www.jameco.com/Jameco/Products/ProdDS/1538777.pdf","Diode_SMD:D_SMC","1",""
"D2","LED","~","LED_SMD:LED_1206_3216Metric","1",""
"J1","Conn_01x05_Pin","~","m12_5pol:m12_5pol","1",""
"J2","Motor connection","~","Connector_Samtec_HPM_THT:Samtec_HPM-05-05-x-S_Straight_1x05_Pitch5.08mm","1",""
"J3,J4","Conn_01x03_Pin","~","Connector_Samtec_HPM_THT:Samtec_HPM-03-05-x-S_Straight_1x03_Pitch5.08mm","2",""
"J5","Conn_01x02_Pin","~","Connector_Samtec_HPM_THT:Samtec_HPM-02-05-x-S_Straight_1x02_Pitch5.08mm","1",""
"L1","22µH","~","Inductor_THT:L_Radial_D7.8mm_P5.00mm_Fastron_07HCP","1",""
"L2","27n","~","Inductor_SMD:L_1206_3216Metric","1",""
"R1","100k","~","Resistor_SMD:R_1206_3216Metric","1",""
"R2","2k5","~","Resistor_SMD:R_1206_3216Metric","1",""
"R3,R4","1k5","~","Resistor_SMD:R_1206_3216Metric","2",""
"R5","10K","~","Resistor_SMD:R_1206_3216Metric","1",""
"U1","STM32F302RBTx","https://www.st.com/resource/en/datasheet/stm32f302rb.pdf","Package_QFP:LQFP-64_10x10mm_P0.5mm","1",""
"U2","~","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"U3","SN65HVD230","http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1",""
"Y1","8MHz","~","Crystal:Crystal_HC52-6mm_Vertical","1",""
